City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2022-04-26 18:37:39,71.2906,-156.7887,6.82,85,100,13.8
1,Hithadhoo,MV,2022-04-26 18:38:43,-0.6,73.0833,84.92,73,100,7.83
2,Aksarka,RU,2022-04-26 18:38:44,66.5606,67.7975,33.4,98,100,16.28
3,Miandrivazo,MG,2022-04-26 18:38:44,-19.5167,45.4667,75.74,88,87,1.86
4,Vaini,TO,2022-04-26 18:35:24,-21.2,-175.2,73.56,73,20,8.05
5,Avarua,CK,2022-04-26 18:36:54,-21.2078,-159.775,77.05,100,75,10.36
6,Saskylakh,RU,2022-04-26 18:36:22,71.9167,114.0833,-3.46,98,98,3.33
7,Mataura,NZ,2022-04-26 18:35:30,-46.1927,168.8643,51.48,99,79,2.59
8,Luba,GQ,2022-04-26 18:38:45,3.4568,8.5547,81.84,81,100,6.64
9,Meadow Lake,US,2022-04-26 18:38:45,34.8014,-106.5436,72.68,22,97,17.31
10,Vardo,NO,2022-04-26 18:38:45,70.3705,31.1107,17.58,86,75,32.21
11,Adrar,MR,2022-04-26 18:38:46,20.5022,-10.0711,79.47,22,0,10.4
12,Bluff,NZ,2022-04-26 18:38:46,-46.6,168.3333,51.8,80,71,8.63
13,Kasama,ZM,2022-04-26 18:38:46,-10.2129,31.1808,62.26,97,100,4.59
14,San Policarpo,PH,2022-04-26 18:38:47,12.1791,125.5072,81.66,85,100,12.37
15,Saint-Pierre,RE,2022-04-26 18:38:47,-21.3393,55.4781,73.29,76,40,5.75
16,Ushuaia,AR,2022-04-26 18:38:47,-54.8,-68.3,42.42,75,75,5.75
17,Yellowknife,CA,2022-04-26 18:38:48,62.456,-114.3525,41.56,56,40,11.5
18,Georgetown,MY,2022-04-26 18:38:11,5.4112,100.3354,82.33,93,40,9.22
19,Albany,US,2022-04-26 18:34:51,42.6001,-73.9662,54.18,85,100,1.86
20,Santiago,CL,2022-04-26 18:35:03,-33.4569,-70.6483,67.15,46,100,16.11
21,Dikson,RU,2022-04-26 18:38:48,73.5069,80.5464,3.85,98,97,9.08
22,Okhotsk,RU,2022-04-26 18:38:49,59.3833,143.3,20.07,84,3,8.52
23,Camalu,MX,2022-04-26 18:38:49,30.85,-116.0667,70.12,54,100,11.27
24,Deputatskiy,RU,2022-04-26 18:38:49,69.3,139.9,-2.22,100,100,2.42
25,Voyvozh,RU,2022-04-26 18:38:50,62.892,54.9635,38.95,98,84,5.79
26,Atuona,PF,2022-04-26 18:38:50,-9.8,-139.0333,78.93,75,24,23.82
27,Port Elizabeth,ZA,2022-04-26 18:35:46,-33.918,25.5701,61.09,82,0,12.66
28,Port Alfred,ZA,2022-04-26 18:38:50,-33.5906,26.891,59.18,90,1,3.0
29,Hasaki,JP,2022-04-26 18:34:29,35.7333,140.8333,75.6,88,100,34.05
30,Manacapuru,BR,2022-04-26 18:38:51,-3.2997,-60.6206,88.41,60,87,6.38
31,Isangel,VU,2022-04-26 18:37:47,-19.55,169.2667,75.31,57,100,12.28
32,Hof,DE,2022-04-26 18:38:51,50.3167,11.9167,47.91,90,100,4.0
33,Cabra,ES,2022-04-26 18:38:52,37.4725,-4.4421,60.76,60,100,4.59
34,Saint-Philippe,RE,2022-04-26 18:37:43,-21.3585,55.7679,73.22,82,37,11.36
35,Nikolskoye,RU,2022-04-26 18:34:45,59.7035,30.7861,42.87,78,87,7.87
36,Conakry,GN,2022-04-26 18:38:52,9.538,-13.6773,84.27,74,40,11.5
37,Jiehu,CN,2022-04-26 18:38:53,35.5428,118.455,56.57,31,100,11.05
38,Yelabuga,RU,2022-04-26 18:38:53,55.7613,52.0649,65.75,73,100,15.88
39,Rikitea,PF,2022-04-26 18:38:54,-23.1203,-134.9692,78.24,75,100,22.26
40,Buraydah,SA,2022-04-26 18:34:22,26.326,43.975,82.85,38,0,15.86
41,Lebu,CL,2022-04-26 18:33:40,-37.6167,-73.65,52.95,78,8,10.94
42,Hermanus,ZA,2022-04-26 18:38:54,-34.4187,19.2345,52.81,75,0,8.32
43,Kapaa,US,2022-04-26 18:36:59,22.0752,-159.319,76.98,94,100,5.75
44,Esperance,AU,2022-04-26 18:36:52,-33.8667,121.9,58.84,65,1,8.34
45,Mahajanga,MG,2022-04-26 18:39:55,-15.7167,46.3167,82.72,65,93,1.36
46,Hilo,US,2022-04-26 18:36:11,19.7297,-155.09,77.29,90,100,4.61
47,Henties Bay,NA,2022-04-26 18:39:56,-22.116,14.2845,63.46,70,0,7.18
48,Pontal,BR,2022-04-26 18:39:56,-21.0225,-48.0372,82.67,47,100,3.11
49,Yerbogachen,RU,2022-04-26 18:39:56,61.2767,108.0108,22.98,97,36,3.85
50,Hobart,AU,2022-04-26 18:36:48,-42.8794,147.3294,50.05,96,100,4.61
51,Caravelas,BR,2022-04-26 18:39:57,-17.7125,-39.2481,81.19,64,0,6.13
52,Fiche,ET,2022-04-26 18:39:57,9.8,38.7333,57.61,51,24,4.12
53,Puerto Ayora,EC,2022-04-26 18:39:57,-0.7393,-90.3518,78.76,75,75,7.99
54,Buala,SB,2022-04-26 18:39:58,-8.145,159.5921,79.84,81,73,3.42
55,Tasiilaq,GL,2022-04-26 18:36:52,65.6145,-37.6368,35.76,89,85,3.0
56,Busselton,AU,2022-04-26 18:39:58,-33.65,115.3333,56.64,87,87,1.5
57,Sibolga,ID,2022-04-26 18:38:03,1.7427,98.7792,78.03,83,100,3.51
58,Vila Velha,BR,2022-04-26 18:37:53,-20.3297,-40.2925,85.95,79,20,10.36
59,Porto Novo,BJ,2022-04-26 18:39:58,6.4965,2.6036,84.02,84,32,6.35
60,Racale,IT,2022-04-26 18:39:59,39.9631,18.0938,66.65,68,0,2.68
61,Pudozh,RU,2022-04-26 18:39:59,61.8099,36.5345,34.56,94,100,8.95
62,Oktyabrskoye,RU,2022-04-26 18:40:00,43.0645,44.7417,60.94,77,81,6.71
63,Cozumel,MX,2022-04-26 18:37:03,20.5083,-86.9458,84.94,73,75,11.01
64,New Norfolk,AU,2022-04-26 18:40:00,-42.7826,147.0587,49.71,88,100,1.9
65,Longyearbyen,SJ,2022-04-26 18:40:00,78.2186,15.6401,3.04,60,75,11.5
66,Goya,AR,2022-04-26 18:40:01,-29.14,-59.2626,87.66,57,100,12.15
67,Punta Arenas,CL,2022-04-26 18:40:01,-53.15,-70.9167,42.91,61,75,10.36
68,Takaungu,KE,2022-04-26 18:40:02,-3.6837,39.8566,80.56,78,94,12.35
69,Arraial Do Cabo,BR,2022-04-26 18:32:54,-22.9661,-42.0278,84.16,78,0,17.27
